run,F-measure,AUC,Matthews
1,0.6997199868514701,0.7941742713807932,0.5208962341589551
2,0.7037946739263997,0.8006962859969942,0.5290420315397772
3,0.700577075409251,0.8002655866581596,0.5298334885482154
4,0.7034009751720749,0.7975750265060609,0.5308940182332536
5,0.7052891499647925,0.8003553349587833,0.5291741300100518
6,0.7010398619766622,0.8113331990964288,0.5346339123065322
7,0.6961365049743815,0.8072036074503798,0.5325470838179661
8,0.7025269666462822,0.8086058385936739,0.5297252210345195
9,0.7054552419137874,0.8029462137165035,0.5363633594479289
10,0.7081606870821593,0.8017501971500348,0.5320116892557089
11,0.7011127897943574,0.8057187849637242,0.5230499450656206
12,0.7000166500166501,0.7991170751422165,0.5207662225117355
13,0.7033572516875404,0.8024126903499447,0.5274929712677024
14,0.7093390137068627,0.8027999446766024,0.5330083027183129
15,0.6990797326138335,0.8027758337242105,0.5297067512197615
16,0.7082329810351065,0.7984930979172526,0.5341798076853568
17,0.7054816241654399,0.7997637208883028,0.5273795365344336
18,0.6954996351220608,0.801339903971406,0.5238528214922555
19,0.7006851898898131,0.7968114490040185,0.5249424454266409
20,0.6988345413701331,0.8028762869985241,0.5279392426873681
21,0.6915096609733304,0.7946247691450091,0.5111632213552929
22,0.7027334748783817,0.8083989912118892,0.5322958588496315
23,0.7073235673854871,0.8064850645840667,0.5427893437727654
24,0.7040782828282829,0.8080715138676619,0.5369040650262586
25,0.7017614282286799,0.8031999884105817,0.5293513710965863
26,0.7038656418718812,0.8090216300071372,0.5352324341735815
27,0.7078680635250552,0.7932560961188412,0.532155764377409
28,0.7048682281448957,0.8044433623123703,0.5286007785419303
29,0.7024036907429078,0.8039646012237031,0.5343954981070113
30,0.7069310169853649,0.8031566190604076,0.5309418311829665
31,0.7076435772785578,0.8042131253370514,0.5357548715760929
32,0.6976469471361113,0.7984074641104579,0.5216664944758048
33,0.6909114150532915,0.8023833090068239,0.5197996778012539
34,0.7069797028004963,0.7970598121685079,0.5375625494506127
35,0.7012218203893357,0.7991437487160227,0.5284066504510927
36,0.6980855792746037,0.8012450635805866,0.5270140318000874
37,0.7045983354089523,0.8016705925366514,0.5249347092836371
38,0.6998956664427757,0.8084605666743349,0.5396674573936322
39,0.7019596251210615,0.7981672525912722,0.5287256717718221
40,0.6983033802764982,0.8021259488033573,0.5190763511115327
41,0.7033153810394127,0.7960624829204818,0.5263002067580179
42,0.7037196133874568,0.7992567401960783,0.5307980761205904
43,0.7086938959195057,0.8001754257551358,0.5364346808164011
44,0.7054773690995731,0.7970925486846963,0.5294609532175641
45,0.7062391983284152,0.8049381583638878,0.5348436034620946
46,0.6993384988230017,0.7975765496241183,0.5229722625793684
47,0.7072827956357368,0.8110674286403187,0.5401245888333238
48,0.6990229515229516,0.8053793708304579,0.5249704210422187
49,0.6999170967597992,0.7999869193591611,0.5172485317083726
50,0.7039444428944461,0.7980197857697858,0.5248808486650025
51,0.7030710240953061,0.8038823925316894,0.5262899215562473
52,0.7061200357949584,0.8014499138639863,0.5342877318695615
53,0.7054479707940181,0.8015681845145408,0.5275982542749406
54,0.6961446962870113,0.8046955815106648,0.5319999784935334
55,0.7029362533114242,0.8054811264815079,0.5303393984674629
56,0.7132486307863735,0.8042724351601164,0.5426937395728547
57,0.6972079792799929,0.7987623695408242,0.5231022865577597
58,0.6994388675193629,0.8039150745802633,0.5315135277743426
59,0.7017293108185746,0.8004922838031534,0.5260709818924073
60,0.7049629417346935,0.8060530202729909,0.5356442099679602
61,0.7002869026398438,0.8047719534616087,0.5376336280964871
62,0.70338783512476,0.8009630769575125,0.5351073376672605
63,0.6989070531758037,0.7980650615452294,0.5201262390028858
64,0.6985879392126567,0.7924211645290077,0.5177637193993901
65,0.699086211220272,0.8027848383500558,0.5323328484953274
66,0.6942923570043066,0.7980525414072066,0.5203495798155086
67,0.7018919846099918,0.8136891298871418,0.5374451907757407
68,0.7058386996318664,0.8049548411149792,0.5311545156787194
69,0.7030368737234435,0.7979234446814237,0.5261034405050611
70,0.7045756406580993,0.8063610607145091,0.5343784515310354
71,0.7034777711053554,0.8070572845350522,0.5330048750269374
72,0.6916539937814752,0.800271033235638,0.5326876456484492
73,0.7028537683988676,0.8038764290190613,0.5298616136692459
74,0.6950546229606025,0.8001636942425913,0.522651248069
75,0.7009201707179462,0.7995780650863772,0.5296503579075982
76,0.6972185866240772,0.8008673838008109,0.5270068621615863
77,0.7030349616943325,0.801506263218933,0.5312938638913043
78,0.6991106530944055,0.8004348043931377,0.5264139648513548
79,0.7029457136200319,0.8021696720140223,0.528441700729472
80,0.7033387581253436,0.8006570304876905,0.5249890394974619
81,0.7039181286549707,0.7994350156016822,0.5271485104921231
82,0.7076018832381843,0.7985938315653704,0.5281439463627504
83,0.6971219729194698,0.8095794465196641,0.5274675147597419
84,0.6993430121859094,0.8051108835397187,0.5309640847914455
85,0.7051819962036682,0.8017223126629759,0.5306696457841291
86,0.6969046647573378,0.7998488104282293,0.5161183452544083
87,0.6982567274597636,0.8021815055459804,0.5256765413297924
88,0.7008206620061326,0.8098204173942227,0.5281766711543716
89,0.7055825857608541,0.8015348614348614,0.5278841178742664
90,0.7045881921692064,0.7976931482021342,0.5300214466719938
91,0.7066877828009879,0.7996205786141686,0.5264780504608327
92,0.6997782972602498,0.8071041735944042,0.5353059498296004
93,0.7015023175197214,0.7989961479802095,0.5273547182516934
94,0.6951390316932,0.8003707134563032,0.5304469219654269
95,0.7056252734623439,0.8032204847711746,0.535647080549289
96,0.6973866877018652,0.8040326805773771,0.52334233930067
97,0.7018109955120359,0.8048101625839068,0.5284881870326174
98,0.7034800578738227,0.8034711078900042,0.5286524398343112
99,0.6924225871461827,0.8055200178862385,0.5281184454352522
100,0.7060087431744766,0.811159669428335,0.5440305018455085
