run,F-measure,AUC,Matthews
1,0.8993811639613384,0.9334506189215632,0.7072932017521387
2,0.8983887200202283,0.9329309173187555,0.7047098522074993
3,0.8992473195150176,0.9341560044843724,0.7069087642217788
4,0.9008078168541324,0.933639904427634,0.7116111024728989
5,0.9015564049603114,0.9330842486182142,0.7139482623337061
6,0.8987059220643212,0.9337514101449816,0.7053246900793689
7,0.899638247931995,0.9336862281415922,0.7076648155950507
8,0.8998178681739241,0.9327791125864058,0.7087065682982868
9,0.8992989378614767,0.9334091316603988,0.7068008760757574
10,0.9003518523058641,0.9332839185204668,0.7095783018887963
11,0.9003441866022364,0.9332089779402224,0.709288683485114
12,0.9006670098157592,0.9337508307528404,0.7108471875352433
13,0.8997694779635467,0.9336891653540226,0.7088259258222848
14,0.9004264336930182,0.9328676220466324,0.7098000473984143
15,0.9000157631217405,0.9334391808374672,0.7087634675940617
16,0.8992505369311049,0.933387757462892,0.7069024307893408
17,0.8987305830905313,0.9328359225219126,0.7055591924919753
18,0.8989009715985897,0.9329151075406932,0.7063160045588893
19,0.9001202767632845,0.9327887033439322,0.7096266248084173
20,0.8987795081311176,0.9331218803306036,0.7057868701465446
21,0.8996273104870426,0.9333796771238078,0.7081387995945239
22,0.8993508452841334,0.9337182000806672,0.7070215144412406
23,0.8999539785091046,0.9330224366111473,0.7088747494358734
24,0.8981919654088817,0.93364327146512,0.7040483730651144
25,0.8997031523441908,0.9329589023338144,0.7081732495745617
26,0.8994173652606031,0.9325789347851596,0.7084045791532338
27,0.9001801548652753,0.9328881317004976,0.7095174014175515
28,0.898959662743963,0.933384152098964,0.7055196920336372
29,0.9000224621316815,0.9341248551133006,0.7087221340879273
30,0.9005726406690849,0.9328494937098434,0.7101481274561146
31,0.8998588647402709,0.9336178288331568,0.7092929424867973
32,0.8992332071383397,0.9335770691732056,0.7070230360199214
33,0.8993231735632223,0.9335932927513592,0.7070002643111736
34,0.8993092752018566,0.9332506371612512,0.7067099184787421
35,0.8983289893749887,0.9332027614095664,0.7045809481334877
36,0.8998585072187322,0.9338075258578832,0.7085064014900864
37,0.9003975389913788,0.9333764627569314,0.7102749463867086
38,0.8989732443362008,0.9327361039537668,0.7062949925898003
39,0.8992680959453706,0.9332331630582468,0.7074874028715783
40,0.9000889126471705,0.933350644071254,0.7092477517893508
41,0.8990399564341673,0.9336140788242104,0.7064050077215459
42,0.899100245423538,0.9328248025030832,0.7070644275035514
43,0.9004313384938845,0.9337830564493028,0.7101765567937616
44,0.9011817759753662,0.9328585180765204,0.7120377597845501
45,0.8992927075056916,0.933260202934716,0.7067598766568856
46,0.8994536239527281,0.9336406314605404,0.7073976119867817
47,0.8995995571870019,0.9332868115544424,0.7083089793567086
48,0.8992880232832621,0.9330518552936036,0.7068178647494839
49,0.8990994876239625,0.9331467585095036,0.7066851478386628
50,0.8993293651118328,0.9334478564258176,0.7070143625572707
51,0.8997183645312955,0.933839802182096,0.7081923429297322
52,0.90007041059996,0.9332750013365252,0.7093747638223837
53,0.8989544809197388,0.9330090899197948,0.7066040284680293
54,0.8991784741794809,0.933306540363466,0.7069318739952497
55,0.9001456915929384,0.9338121582907322,0.7092334814678695
56,0.8990147764284044,0.9325110831784535,0.7068875034319839
57,0.8995988572220706,0.9328963035820752,0.7080099337687304
58,0.8993471694196105,0.9327908810185452,0.7073861798170347
59,0.898864642341761,0.9333478312713662,0.7057273637037148
60,0.8983679148280205,0.9330711764649946,0.7049257491594085
61,0.8994018661402364,0.9329393843284428,0.7068925495237603
62,0.8987117375572385,0.9331190496870072,0.7052421057270514
63,0.8987413660789013,0.9320291926667216,0.7049383950079571
64,0.9003526883029729,0.9336098637324326,0.710030619991638
65,0.8996954064703557,0.9333969997685112,0.7082024543275836
66,0.9007389475128662,0.9334456619289884,0.7113979843617024
67,0.8998187454114491,0.9329039599484744,0.709180196847189
68,0.900356929768234,0.9328462327385061,0.7095636673966963
69,0.8999378992295182,0.9338192873114306,0.7091694338225114
70,0.8997684205934824,0.9333434590010654,0.7077856945120562
71,0.8986119601471362,0.9329372488690676,0.7054165677722589
72,0.8987281772056459,0.9336993777914646,0.7051443861387577
73,0.8994119899444917,0.9332871455509676,0.7066076957979621
74,0.9008121232326132,0.9334512049242392,0.710978567412505
75,0.8997028123340387,0.9333031819109056,0.7082078202922947
76,0.901375690662388,0.933292621889666,0.7135146568643569
77,0.899412105073141,0.9338743278684938,0.7070325996609187
78,0.8994509846895022,0.9341632531388736,0.7071830201470941
79,0.8998196324444796,0.9329638637790872,0.7085562809382606
80,0.8995506959464291,0.9336231793004788,0.7081843302735689
81,0.8989446763005832,0.9327877247175752,0.7062798294499382
82,0.9001021823156667,0.9323003189435364,0.708933501576608
83,0.900358485894192,0.9331931861885062,0.7095861989056885
84,0.8994308646592964,0.9334098669850818,0.7076537776816147
85,0.9000967824715731,0.933405330622033,0.7089344296403904
86,0.9005953704873816,0.9329614067049644,0.7109473567777717
87,0.8996253024272519,0.933311638411248,0.7080158960020559
88,0.8988235483608458,0.9331965415059168,0.7058197036606274
89,0.9003790223057079,0.9327883970733584,0.7101485626823313
90,0.900721533542512,0.9327727394626992,0.7111196871975096
91,0.8989057788663549,0.9335493022591616,0.7053498468122996
92,0.9003262651882794,0.9339635815782072,0.7096233102950725
93,0.8997468758332715,0.9332169341667378,0.7085109071162626
94,0.89925310216955,0.9331753147900748,0.7071668066805537
95,0.8982924148881833,0.9329006878409964,0.704573510767015
96,0.8997313929883302,0.9342842198155392,0.7080701678825821
97,0.8998094516198206,0.9326354930533228,0.7084277660096738
98,0.8983690886495814,0.9335778122739792,0.7048195190270846
99,0.8989882671340143,0.9323671215373172,0.7057863704896585
100,0.9001571441515127,0.932328402240255,0.7088778846438297
