run,F-measure,AUC,Matthews
1,0.6182464750856909,0.7672060016066719,0.3443679941597081
2,0.6209410203787571,0.7668497575070898,0.34807823918192565
3,0.6181331514952392,0.7677577466287013,0.3428923450667567
4,0.6183871543198425,0.7676718441921403,0.3458619823764961
5,0.6204162892241447,0.7672777085582877,0.3474160418189268
6,0.6225249726489599,0.7679925565859447,0.3509747209721884
7,0.6193406438090726,0.7665425973566965,0.3460775432414972
8,0.6177899364841186,0.7668940387579679,0.34270486025931585
9,0.6218620797442531,0.7672971359746455,0.350439163979519
10,0.6198837722317123,0.7673006842573493,0.3480719289929975
11,0.6192000541852712,0.7669420966074347,0.3476947894469999
12,0.616824645831453,0.7669069356246155,0.3417408958991057
13,0.6211324586812683,0.7668657472241155,0.3496885963403937
14,0.6228468305130763,0.7664397800645558,0.35171262024788386
15,0.6203390927114711,0.767542752399738,0.3491515696607309
16,0.6177728199997843,0.7671847879573441,0.3444964096508401
17,0.6175274231053915,0.7680002215746045,0.3447175212266151
18,0.6200253093721877,0.7677398415083372,0.3490049289101221
19,0.6206121020581831,0.7667557859741552,0.3483634562973795
20,0.6197191451978421,0.7673780368682422,0.3478848847905649
21,0.618680732901023,0.7674040884280033,0.3447974817762418
22,0.6186966158245774,0.7662340873566535,0.3433981214375552
23,0.6147988144914377,0.7669629425330824,0.34089361875587243
24,0.6184023164637782,0.7672551847914585,0.3461487960069926
25,0.6187070160748387,0.7670484426063252,0.34556042713503143
26,0.6192876099530921,0.7675974895699914,0.3455584208621265
27,0.6205433376799178,0.7669643072515566,0.3474426075869113
28,0.6179652434254783,0.7669855985568507,0.3439466392053545
29,0.6212723774012229,0.7670158670324195,0.3492514281461496
30,0.6169456755645981,0.7675540123141034,0.3450308598491315
31,0.621090304076917,0.7677469364810197,0.3497215634988093
32,0.6189125545524465,0.7665383568472198,0.347941341016569
33,0.6214980731548676,0.7671499121950319,0.3492222623726499
34,0.6223105332952703,0.7677028554201687,0.3519546959833756
35,0.6189937943091268,0.7677360620092142,0.3455691505892516
36,0.6197937913525513,0.7678051302800204,0.3482148181529463
37,0.6211349422454985,0.7672503776421971,0.3497385454229185
38,0.6189963675296323,0.7671844788646617,0.34760201494079834
39,0.6201549907586705,0.767232819031554,0.3480955373772672
40,0.6218783667552692,0.7683587195995434,0.3531118437132486
41,0.6185160139356107,0.767696763389572,0.3458242403467689
42,0.6187665249712959,0.7671307273491046,0.34490773042250245
43,0.6181674724851253,0.7677309768570503,0.3463459560692847
44,0.6221516479558626,0.7671146389071136,0.35401445994376396
45,0.6214949593189157,0.7670212681324788,0.3491272417152622
46,0.6228762651456499,0.7673217324859996,0.35235286753785794
47,0.6193314741151866,0.7670634473312481,0.34621263513684586
48,0.6193837565256183,0.7678512752948483,0.34702501165696004
49,0.6207828658596041,0.7669349810188449,0.34919292453841666
50,0.6194713964505721,0.7671709452459281,0.3465729875954526
51,0.6185808512595465,0.7667674923399155,0.3454561135986161
52,0.6181977474771079,0.7673834090634164,0.3454158955501437
53,0.6184471674066241,0.7670373606264682,0.3465060026008516
54,0.6220649474242345,0.7673834662329418,0.3501085923861033
55,0.6214149252865714,0.7674286350913125,0.3506411697336105
56,0.6193923687120194,0.7670564176627496,0.3469054704184963
57,0.6214906886950761,0.767248476570102,0.3500226814178153
58,0.6192617053721288,0.7674193435184267,0.3445134275572466
59,0.6190036743184432,0.7675625172163174,0.34751121711756605
60,0.6198669349427223,0.7669778111452674,0.3493097880104478
61,0.6209411662374149,0.7667129480045319,0.3502882531482525
62,0.6216410330166648,0.7670315176078041,0.3496129301539386
63,0.6221122788360347,0.7670754856955332,0.3508310079479844
64,0.6185036455740036,0.7670549886163449,0.3445725178548672
65,0.6208312322304521,0.7668190000474098,0.34928446696945115
66,0.6183495200777026,0.7671081520021893,0.345991011739381
67,0.6183163627934025,0.7678600918259599,0.34478021046919743
68,0.6206996827957817,0.7675607315356092,0.3507631254360216
69,0.6170693595135224,0.7671687945767262,0.34215344755539095
70,0.6212291784715179,0.7678887657929228,0.35114866403778644
71,0.6241484062134548,0.7676316632106313,0.3556323264463838
72,0.6205617270613027,0.7676726129167629,0.3497712554844289
73,0.6192106444294754,0.7669125077873813,0.34679744823767894
74,0.6190666174919681,0.7668850583988974,0.3470627461019384
75,0.6181050816685925,0.7675738068202329,0.3464936305377712
76,0.6199884550950174,0.76690625213138,0.3497207813420939
77,0.6217059308785636,0.76692388949239,0.3504019062692011
78,0.6176608476062283,0.7675277838076615,0.34328877214180176
79,0.6201086318218278,0.7672970663133343,0.3496066752379042
80,0.6222084009252673,0.7679319475026894,0.35157027769181914
81,0.6177628820261987,0.7670715725630972,0.3444742768440213
82,0.6185827393037989,0.7668044164583889,0.34516428830795737
83,0.6196763957841404,0.76784600002916,0.3456929254702473
84,0.6178776073302613,0.7669484765088956,0.3457508731010208
85,0.6188588413980064,0.7675789500031335,0.34514904731102625
86,0.6203509012823222,0.7674109815505566,0.347496693332994
87,0.6211986321713399,0.7673804809567552,0.3505349010294501
88,0.6187503877071687,0.7675492851363239,0.3455059244902502
89,0.6176770969447459,0.7661229693217086,0.3432153158893167
90,0.6188151861614528,0.7665599327609806,0.3474575769305009
91,0.620556218085017,0.7680467171975541,0.3497002531078928
92,0.6199470950590478,0.7675433249848214,0.34837422500229204
93,0.618782520999703,0.7667174969391515,0.3467054664997969
94,0.6186420130804652,0.7666512074335026,0.34679535576852943
95,0.6194542176146435,0.7676872220561061,0.3467651711671475
96,0.6196783889668989,0.7682927784773682,0.3482948117857567
97,0.6189553009735346,0.7666135317994541,0.34692699344260863
98,0.6209755237197628,0.7674023266446077,0.3508576802721487
99,0.6193568099102823,0.7678325185462861,0.34641209520139565
100,0.6182421182829467,0.7671264469617047,0.34551415123993384
