run,F-measure,AUC,Matthews
1,0.7603305785123966,0.8303783783783784,0.6509982663648028
2,0.7440000000000001,0.8341003861003861,0.6204478764478765
3,0.736,0.8509034749034751,0.6085868725868726
4,0.7569721115537849,0.8528030888030887,0.6389976897616338
5,0.7550200803212852,0.836046332046332,0.6375004241316872
6,0.7540983606557377,0.8569729729729729,0.6401116216091078
7,0.7530364372469635,0.8305019305019306,0.636081304016031
8,0.7470817120622568,0.8338223938223939,0.6205416895749712
9,0.7777777777777778,0.8642316602316602,0.6693075146185892
10,0.7874015748031497,0.8488185328185328,0.6825710724260476
11,0.7470817120622568,0.8287876447876448,0.6205416895749712
12,0.775,0.8283243243243243,0.6742227590862772
13,0.7649402390438246,0.860015444015444,0.6508344052883328
14,0.7953667953667953,0.8491583011583012,0.6923818092750686
15,0.7854251012145749,0.834996138996139,0.6838293678889967
16,0.7569721115537849,0.8112741312741313,0.6389976897616338
17,0.7440000000000001,0.831953667953668,0.6204478764478765
18,0.76,0.8612200772200772,0.6441698841698842
19,0.7840000000000001,0.8585945945945946,0.6797528957528958
20,0.7905138339920948,0.8694362934362935,0.6877303054053769
21,0.7450980392156863,0.8194131274131274,0.6187318319247473
22,0.7692307692307693,0.8465482625482625,0.6599553359525139
23,0.7951807228915663,0.8605559845559846,0.6969294790128701
24,0.76,0.8446795366795367,0.6441698841698842
25,0.752,0.8244787644787644,0.6323088803088803
26,0.7607843137254902,0.8462239382239383,0.6422210087373131
27,0.7540983606557377,0.8474749034749035,0.6401116216091078
28,0.7829457364341085,0.8606949806949807,0.6740352163290179
29,0.7622950819672131,0.8517220077220077,0.6521295584740125
30,0.7580645161290323,0.8472741312741313,0.6427365729286834
31,0.766798418972332,0.8364015444015444,0.6523613182702432
32,0.7642276422764228,0.8523706563706563,0.6533466856226118
33,0.7710843373493975,0.8529266409266409,0.6612720460841602
34,0.7662835249042146,0.8415289575289575,0.6476100655548098
35,0.7739463601532568,0.8534671814671815,0.6592307321516813
36,0.7710843373493975,0.8146563706563706,0.6612720460841602
37,0.76,0.8485250965250966,0.6441698841698842
38,0.7952755905511811,0.8688648648648649,0.6943379542133249
39,0.7716535433070866,0.8353050193050193,0.6590373088514929
40,0.7649402390438246,0.8226409266409267,0.6508344052883328
41,0.7607843137254902,0.8645250965250966,0.6422210087373131
42,0.7871485943775101,0.8616833976833976,0.6850436680366334
43,0.7637795275590551,0.863011583011583,0.6472704270642158
44,0.7611336032388664,0.8613745173745174,0.6480183199842725
45,0.7460317460317459,0.8527722007722007,0.6220557638048669
46,0.766798418972332,0.8334054054054054,0.6523613182702432
47,0.7716535433070866,0.8576061776061776,0.6590373088514929
48,0.8078431372549019,0.8891891891891892,0.7126885391750105
49,0.76,0.8424092664092664,0.6441698841698842
50,0.7967479674796748,0.8632277992277992,0.7012004126321171
51,0.7836734693877552,0.8612200772200772,0.6827035225367595
52,0.7729083665338645,0.8830270270270271,0.6626711208150317
53,0.7854251012145749,0.863011583011583,0.6838293678889967
54,0.7394957983193277,0.836972972972973,0.6246106170815541
55,0.7747035573122529,0.8411274131274131,0.6641509806486211
56,0.8062015503875969,0.8857142857142857,0.7090768955208148
57,0.7716535433070866,0.8373899613899614,0.6590373088514929
58,0.8106060606060607,0.8647722007722007,0.7141528446657777
59,0.768,0.8346872586872587,0.6560308880308879
60,0.7795275590551182,0.8503474903474904,0.6708041906387704
61,0.7826086956521741,0.8729420849420849,0.6759406430269991
62,0.7795275590551182,0.8561389961389961,0.6708041906387704
63,0.7644787644787645,0.844015444015444,0.6457412312974129
64,0.7499999999999999,0.8342857142857143,0.6308254275204206
65,0.7983539094650206,0.8781003861003861,0.7057602624395001
66,0.7759999999999999,0.8542393822393822,0.6678918918918919
67,0.792,0.8850656370656371,0.6916138996138996
68,0.7622950819672131,0.8545637065637066,0.6521295584740125
69,0.728,0.7924478764478764,0.5967258687258687
70,0.7654320987654322,0.8474594594594594,0.6575760788184194
71,0.7854251012145749,0.8547181467181467,0.6838293678889967
72,0.7812500000000001,0.8637220077220077,0.6723805160041426
73,0.75,0.8246640926640927,0.6254894162274178
74,0.7764705882352941,0.8599073359073359,0.6657101855498789
75,0.7791164658634537,0.8570347490347491,0.6731578570603968
76,0.7969348659003832,0.8736833976833976,0.6940927319422953
77,0.7799227799227799,0.8467953667953668,0.6690615202862408
78,0.7460317460317459,0.8259305019305019,0.6220557638048669
79,0.7622950819672131,0.8293590733590733,0.6521295584740125
80,0.7656250000000001,0.8624710424710424,0.6489349661157803
81,0.7401574803149605,0.824911196911197,0.6119697817023838
82,0.7936507936507937,0.8747027027027027,0.6929333900254502
83,0.7560975609756098,0.8340077220077221,0.6413832538702355
84,0.7901234567901235,0.8874594594594595,0.6937142165342299
85,0.766798418972332,0.8340231660231661,0.6523613182702432
86,0.7716535433070866,0.8851891891891892,0.6590373088514929
87,0.7630522088353414,0.8246640926640927,0.6493862351079237
88,0.7759999999999999,0.8658069498069498,0.6678918918918919
89,0.7413127413127413,0.8255135135135135,0.6107607978141711
90,0.710204081632653,0.8094517374517375,0.574789903167612
91,0.7940074906367041,0.8567413127413127,0.6881793450051428
92,0.7812500000000001,0.8496988416988417,0.6723805160041426
93,0.7773279352226721,0.8613127413127413,0.6718923519207554
94,0.7644787644787645,0.8432277992277992,0.6457412312974129
95,0.7479674796747968,0.8401544401544402,0.6294198221178593
96,0.7871485943775101,0.8513822393822393,0.6850436680366334
97,0.7661290322580646,0.8444169884169884,0.6546477183369462
98,0.7351778656126482,0.8290965250965251,0.6052026687567317
99,0.7637795275590551,0.8785173745173745,0.6472704270642158
100,0.7890624999999999,0.8493590733590733,0.6841032909483238
