run,F-measure,AUC,Matthews
1,0.5187969924812029,0.8139084836756352,0.442047007498012
2,0.5019011406844106,0.8092681607258048,0.4254428536344991
3,0.5075757575757575,0.8150321493226793,0.43101049384866896
4,0.5151515151515151,0.8161141977235367,0.4405537761001998
5,0.4981132075471698,0.81070395571925,0.4175403297420367
6,0.4848484848484849,0.8063549534927273,0.4023806470940765
7,0.5132075471698113,0.8010487546039079,0.4365449451903393
8,0.5171102661596958,0.8166552219239653,0.4446127414993656
9,0.4924242424242424,0.8076867053707056,0.4119239293456073
10,0.4981132075471698,0.8160725804773498,0.4175403297420367
11,0.5151515151515151,0.8148448717148387,0.4405537761001998
12,0.4904214559386973,0.8136275672638742,0.4142046759645977
13,0.5112781954887219,0.8183303160829848,0.4325850043207093
14,0.4904214559386973,0.8085918804752691,0.4142046759645977
15,0.5227272727272727,0.8175395884054352,0.4500970583517307
16,0.4942965779467681,0.8119836860394948,0.4158579097020659
17,0.4885496183206106,0.808061260586387,0.4102138881212417
18,0.5038167938931297,0.8206088603117132,0.4294685092559648
19,0.5112781954887219,0.8202134964729384,0.4325850043207093
20,0.4980842911877396,0.8131697775558191,0.4238750765786254
21,0.4728682170542635,0.8012048192771084,0.39707693648763387
22,0.5,0.8168633081548994,0.4214672115971381
23,0.5057471264367817,0.8200678361112845,0.4335454771926531
24,0.5057471264367817,0.8128368395863246,0.4335454771926531
25,0.5037593984962406,0.8158332813117756,0.4231230011434066
26,0.5095057034220533,0.8191210437605344,0.4350277975669324
27,0.5151515151515151,0.8209834155273945,0.4405537761001998
28,0.5132075471698113,0.8154899390307343,0.4365449451903393
29,0.5134099616858238,0.8160205589196163,0.4432158778066809
30,0.5171102661596958,0.8164783486276713,0.4446127414993656
31,0.5095057034220533,0.8188609359718667,0.4350277975669324
32,0.5057471264367817,0.8140749526603824,0.4335454771926531
33,0.5056603773584906,0.8163534968891109,0.427042637466188
34,0.4961832061068702,0.8147200199762782,0.4198411986886033
35,0.5019011406844106,0.8181014212289572,0.4254428536344991
36,0.5000000000000001,0.8191938739413613,0.4279608704345758
37,0.4980842911877396,0.8181014212289572,0.4238750765786254
38,0.5243445692883895,0.812607944732297,0.4475174556945112
39,0.5056603773584906,0.8157604511309486,0.427042637466188
40,0.5171102661596958,0.8136379715754208,0.4446127414993656
41,0.5075757575757575,0.8157708554424954,0.43101049384866896
42,0.5019011406844106,0.8084878373598019,0.4254428536344991
43,0.5056603773584906,0.8136795888216076,0.427042637466188
44,0.4904214559386973,0.8137420146908879,0.4142046759645977
45,0.5037593984962406,0.8152610441767069,0.4231230011434066
46,0.4924242424242424,0.8068855733816094,0.4119239293456073
47,0.5,0.8125455188630168,0.4214672115971381
48,0.5,0.822377593274653,0.4214672115971381
49,0.5168539325842697,0.8194747903531223,0.4380951036570816
50,0.5168539325842697,0.8176644401439956,0.4380951036570816
51,0.5278810408921932,0.8185071893792788,0.4490215445741112
52,0.4942965779467681,0.8171130116320203,0.4158579097020659
53,0.5019011406844106,0.8080508562748403,0.4254428536344991
54,0.5075757575757575,0.8144703164991572,0.43101049384866896
55,0.5207547169811321,0.8153546829806272,0.44604725291449066
56,0.4846153846153846,0.8166344133008718,0.4085324039970048
57,0.5019011406844106,0.8213371621199825,0.4254428536344991
58,0.4942965779467681,0.8113178101005056,0.4158579097020659
59,0.5019011406844106,0.8108704247039973,0.4254428536344991
60,0.5000000000000001,0.8142206130220363,0.4279608704345758
61,0.5037593984962406,0.8155939821462014,0.4231230011434066
62,0.5112781954887219,0.8137316103793412,0.4325850043207093
63,0.4961832061068702,0.8176332272093556,0.4198411986886033
64,0.5056603773584906,0.8148968932725722,0.427042637466188
65,0.5207547169811321,0.8156564080154817,0.44604725291449066
66,0.5,0.8110472980002913,0.4214672115971381
67,0.5132075471698113,0.8115363006429864,0.4365449451903393
68,0.5075757575757575,0.8132946292943796,0.43101049384866896
69,0.5075757575757575,0.8196100464032295,0.43101049384866896
70,0.4812030075187971,0.8121397507126954,0.39473699161149867
71,0.5112781954887219,0.8167592650394323,0.4325850043207093
72,0.5112781954887219,0.8147408285993716,0.4325850043207093
73,0.5151515151515151,0.8215868655971035,0.4405537761001998
74,0.5,0.8137420146908879,0.4214672115971381
75,0.5056603773584906,0.8173315021745011,0.427042637466188
76,0.5056603773584906,0.8198597498803504,0.427042637466188
77,0.5019011406844106,0.8182782945252512,0.4254428536344991
78,0.5057471264367817,0.8177268660132759,0.4335454771926531
79,0.5095057034220533,0.8144911251222506,0.4350277975669324
80,0.4904214559386973,0.8101317185841813,0.4142046759645977
81,0.4924242424242424,0.808799966706203,0.4119239293456073
82,0.4980842911877396,0.8064173793620076,0.4238750765786254
83,0.5075757575757575,0.8176956530786358,0.43101049384866896
84,0.5037593984962406,0.8170505857627399,0.4231230011434066
85,0.5038167938931297,0.8091849262334311,0.4294685092559648
86,0.4885496183206106,0.8178621220633828,0.4102138881212417
87,0.5151515151515151,0.8158332813117756,0.4405537761001998
88,0.4924242424242424,0.8111097238695716,0.4119239293456073
89,0.5057471264367817,0.8196932808956031,0.4335454771926531
90,0.4981132075471698,0.8128264352747778,0.4175403297420367
91,0.5075757575757575,0.8177788875710095,0.43101049384866896
92,0.4904214559386973,0.8176124185862621,0.4142046759645977
93,0.5056603773584906,0.8145535509915309,0.427042637466188
94,0.5075757575757575,0.8137628233139813,0.43101049384866896
95,0.5132075471698113,0.8156251950808415,0.4365449451903393
96,0.5132075471698113,0.8149489148303056,0.4365449451903393
97,0.5132075471698113,0.8107871902116237,0.4365449451903393
98,0.5000000000000001,0.8134090767213934,0.4279608704345758
99,0.5038167938931297,0.8103502091266621,0.4294685092559648
100,0.4942965779467681,0.8153650872921738,0.4158579097020659
